Nombre del Producto,Categoría,Descripción,Precio Contado,img,Stock
"Cuchilla 9"" tramontina",Cocina,"Herramienta de corte robusta, perfecta para uso intensivo en la cocina. Mantiene un filo duradero y es fácil de manejar.",3050,n,4
Cuchillo Tipo Hacha 18 CM,Cocina,"Herramienta de corte robusta, perfecta para uso intensivo en la cocina. Mantiene un filo duradero y es fácil de manejar.",10700,n,2
Espatula super ancha acero,Cocina,"Espátula flexible, perfecta para mezclar y extender con precisión. Diseñada para chefs profesionales y amateurs.",1,n,4
Frasco de vidrio vitro tapa negra 15 CM de alto,Cocina,"Envase de vidrio transparente, ideal para organizar la despensa con estilo y funcionalidad.",8750,n,1
Frasco de vidrio vitro tapa negra 18 CM de alto,Cocina,"Frasco de vidrio resistente, perfecto para almacenar y exhibir ingredientes en cocinas o estanterías.",10525,n,1
Frasco de vidrio vitro tapa negra 23 CM de alto,Cocina,"Frasco de vidrio con tapa hermética, perfecto para almacenar especias y hierbas, conservando su frescura por más tiempo.",12190,n,1
Manga de silicona reutilizable + 6 picos y acople 35CM,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",2100,n,10
Molde de silicona 3 tabletas grandes + 6 mini tabletas ,Pastelería,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.",2030,n,5
Molde de silicona 50 figuras caracol insectos,Pastelería,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.",2700,n,2
Molde de silicona 6 corazones diamantes,Pastelería,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",3100,n,4
Molde de silicona 6 cubos de burbujas ,Pastelería,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.",3300,n,3
Molde de silicona corazon 24x22 cm ,Pastelería,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.",3560,n,3
Molde de silicona mini budin ,Pastelería,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.",1050,n,24
Molde de silicona P/10 numeros ,Pastelería,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.",4700,n,2
Molde de silicona P/4 cuadrados ,Pastelería,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.",3100,n,3
Molde de silicona P/4 helados MOD ,Pastelería,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.",2900,n,1
Molde de silicona P/4 ovalos S-Cod,Pastelería,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.",3100,n,2
Molde de silicona P/4 paletas C/2 lineas ,Pastelería,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.",3350,n,2
Molde de silicona P/4 paletas decoradas ,Pastelería,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.",2900,n,4
Molde de silicona P/4 redondos S-Cod,Pastelería,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.",3100,n,4
Molde para torta antiadherente 28 CM con cierre,Pastelería,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",17729.7,n,2
Molde silicona 10 numeros p/resina ,Pastelería,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.",2300,n,2
Molde silicona 15 mini circulos 2E8 S-Cod,Pastelería,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",2850,n,5
Molde silicona 15 Semi ,Pastelería,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",2970,n,5
Molde silicona 4 cavidades de cubo p/velas ,Pastelería,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",3200,n,4
Molde silicona 48 letras S-Cod,Pastelería,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",3050,n,2
Molde silicona 6 cuadrados chico ,Pastelería,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",3305,n,3
Molde silicona bombones surtidos,Pastelería,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",1900,n,24
Molde silicona budinera c/tubo borde decorado S-Cod,Pastelería,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.",4350,n,1
Molde silicona numeros p/resina ,Pastelería,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.",2750,n,2
Molde de silicona P/6 cubos cubo de burbuja,Pastelería,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.",1,n,1
Mortero de marmol 12 CM bajo,Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.",18850,n,1
"Pack de 12 cupcakes carton metalizados decorados 7x5,5CM ",Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.",3500,n,4
Palo de amasar acero 35 CM 4 aros regulares,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",15980,n,2
Palo de amasar madera 38 CM,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.",1570,n,4
Palo de amasar silicona 22 CM con aro regulable,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",2650,n,6
Palo de amasar silicona 33 CM con aro regulable,Cocina,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.",4200,n,6
Palo de amasar silicona 50 CM con aro regulable,Cocina,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.",10500,n,6
Pinza metalica panadería 30 CM,Cocina,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.",1500,n,4
Placa antiadherente x44 palos de jacob,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",5800,n,10
Plancha placa silicona para horno antiadherente 30x40 CM ,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",5150,n,9
Plancha placa silicona para horno antiadherente macarrones 30x40CM,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.",4860,n,10
Plato giratorio vidrio - acero diametro 30,Decoración,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.",23273.7,n,2
Rejilla 25x41 CM negra,Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.",4400,n,9
Scraper plastico dientes triangulares y ondeadas ,Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.",2450,n,6
Scrapers acero con mango 28 CM,Cocina,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.",6700,n,4
Set cutter + pinza reposteria ,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.",1,n,8
Set por 24 picos grandes en caja,Cocina,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.",11238.4,n,2
Set por 25 picos caja chica estuche acrilico,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.",5400,n,2
Soplete Flameador N920,Cocina,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.",4950,n,4
Placa de corte 30x40 CM,Cocina,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.","$ 10.771,20",n,6
Plato giratorio 20CM BENAVI,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.","$ 8.331,80",n,6
Plato giratorio vidrio 35 CM,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.","$ 18.057,60",n,2
Plato giratorio vidrio 25 CM,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.","$ 14.889,60",n,1
Espatula silicona transparente,Cocina,"Espátula flexible, perfecta para mezclar y extender con precisión. Diseñada para chefs profesionales y amateurs.","$ 2.645,28",n,8
Espatula 15 CM recta,Cocina,"Accesorio versátil para cocinar, con una estructura resistente que facilita el manejo de alimentos sin dañarlos.","$ 1.805,76",n,3
"Batidor alambre 10""",Pastelería,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.","$ 1.742,40",n,6
Set pincel y espatula silicona,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.","$ 2.201,76",n,4
Colador 10 CM,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.","$ 1.457,28",n,6
Cornet blanco grande 15 CM,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.","$ 839,52",n,5
Cornet set por 3,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.","$ 950,40",n,5
Fratacho cristal flexible x5 unidades,Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.","$ 950,40",n,5
Rallador chino 25 CM,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.","$ 1.092,96",n,3
Arco corta torta (lira),Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.","$ 3.674,80",n,4
Molde blanco tulipan x11,Pastelería,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.","$ 3.215,52",n,2
Bowl ceramica 14 CM,Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.","$ 10.130,90",n,4
"Fuente ceramica para horno 26,5x16 CM",Electrodomésticos,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.","$ 16.801,26",n,1
Bowl IVORY 15 CM,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.","$ 6.754,20",n,6
Plato Playo IVORY 27 CM,Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.","$ 9.008,20",n,6
Cuchara de nylon gris con mango acero,Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.","$ 4.684,26",n,2
Cuchara pasta de nylon gris con mango acero,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.","$ 4.684,20",n,2
Espumadera de nylon gris con mango de acero,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.","$ 4.684,20",n,2
Espumadera teflon con mango de madera,Cocina,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.","$ 2.246,30",n,2
Cucharon de teflon con mango de madera,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.","$ 2.246,30",n,2
Cuchara de madera 40 CM,Cocina,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.","$ 921,96",n,4
Jarro gris hervidor antiadherente ceramico 14 CM,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.","$ 22.938,20",n,2
Molde X6 muffins/cupcakes 18.5x26.5CM BZP,Pastelería,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.","$ 1.008,00",n,4
Panquequera gris 22CM antiad.Exclusiva,Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.","$ 17.870,70",n,2
Sarten gris N24 antiad. Ceramico exclusiva,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.","$ 25.406,90",n,1
Wok gris antiad. Ceramico exclusivo 28 CM,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.","$ 38.951,80",n,1
Tamizador harina acero 12CM,Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.","$ 10.139,02",n,4
Compotera 11 CM linea areia - rosa,Cocina,"Accesorio de alta calidad, pensado para facilitar las tareas culinarias diarias.","$ 777,74",n,6
Ensaladera 23 CM linea areia - rosa,Cocina,"Producto multifuncional, diseñado para ofrecer comodidad y durabilidad en la cocina.","$ 4.504,10",n,1
Bowl 17 CM linea areia - rosa,Cocina,"Utensilio versátil, ideal para cualquier chef que busque calidad y funcionalidad.","$ 2.246,30",n,1
Cuchara Pasta de nylon linea areia - verde,Cocina,"Producto imprescindible para el hogar, ofreciendo una combinación de eficiencia y diseño moderno.","$ 3.035,90",n,1
FUENTE DE VIDRIO TEMPLADO 39X24 CM,Cocina,Fuente de vidrio templado rectangular de gran tamaño.,17359.89,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730220004/FUENTE_DE_VIDRIO_TEMPLADO_39X24_CM_qixzbm.jpg,1
ENSALADERA DE MELAMINA PERTH 2850 ML,Cocina,Ensaladera de melamina con capacidad de 2850 ml.,9978.23,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730215537/ENSALADERA_DE_MELAMINA_PERTH_2850_ML_tekdur.webp,1
SET X 4 BOWLS DE ACRILICO RAYAS TAPA GRIS,Cocina,Set de 4 bowls de acrílico con rayas y tapa gris.,13366.91,n,1
BANDEJA DE VIDRIO RECICLADO MENFIS 44X18 CM,Cocina,"Bandeja de vidrio reciclado de gran tamaño, ideal para servir.",21279.89,https://res.cloudinary.com/dwkyq6kut/image/upload/v1730199402/BANDEJA_DE_VIDRIO_RECICLADO_MENFIS_44X18_CM_eyetux.webp,1
